Campus Name,CCSF Entity,Lower Age,Upper Age,General Type,Supervisor District
Alamo Elementary School,SFUSD,5,10,PS,1
Alvarado Elementary School,SFUSD,5,10,PS,8
Aptos Middle School,SFUSD,11,13,PS,7
Argonne Early Education School,SFUSD,3,5,PS,1
Argonne Elementary School,SFUSD,5,10,PS,1
"Asawa, Ruth Asawa San Francisco School Of The Arts

 / Academy Of Arts And Sciences",SFUSD,14,17,PS,8
Balboa High School,SFUSD,14,17,PS,11
"Brown, Willie Brown Jr Middle School",SFUSD,11,13,PS,10
Bryant Early Education / Bryant Elementary,SFUSD,3,10,PS,10
Buena Vista / Horace Mann,SFUSD,5,13,PS,9
"Burton, Phillip And Sala Burton High School",SFUSD,14,17,PS,9
"Carmichael, Bessie Carmichael (6-8 Campus)",SFUSD,11,13,PS,6
"Carmichael, Bessie Carmichael K-5 Campus / Early Education",SFUSD,5,13,PS,6
"Carver, Dr. George Washington Carver Elementary School",SFUSD,5,10,PS,10
"Chavez, Cesar Chavez Elementary School / Preschool",SFUSD,3,10,PS,9
"Chin, John Yehall Chin Elementary School",SFUSD,5,10,PS,3
Chinese Education Center Elementary School,SFUSD,5,10,PS,3
Chinese Immersion School At Deavila,SFUSD,5,9,PS,5
City Arts And Tech High School,SFUSD,14,17,PS,11
Clarendon Elementary School,SFUSD,5,10,PS,7
Cleveland Elementary School,SFUSD,5,10,PS,11
"Cobb, Dr. William L. Cobb Elementary School / Preschool",SFUSD,3,10,PS,2
Creative Arts Charter School,SFUSD,5,13,PS,5
"Denman, James Denman Middle School / Leadership Charter High",SFUSD,11,13,PS,11
Downtown High School,SFUSD,14,17,PS,10
"Drew, Dr. Charles R. Drew Elementary / Early Education",SFUSD,3,10,PS,10
Edison Charter K-8,SFUSD,5,13,PS,8
El Dorado Elementary School,SFUSD,5,10,PS,10
Everett Middle School,SFUSD,11,13,PS,8
Fairmount Elementary School / Preschool,SFUSD,3,10,PS,8
"Feinstein, Dianne Feinstein Elementary School",SFUSD,5,10,PS,4
Five Keys Charter,SFUSD,13,17,PS,6
"Flynn, Leonard Flynn Elementary / Early Education",SFUSD,5,10,PS,9
Francisco Middle School,SFUSD,11,13,PS,3
Galileo High School,SFUSD,14,17,PS,2
Garfield Elementary / Early Education,SFUSD,5,10,PS,3
Gateway High School / Kipp Sf Bay Academy,SFUSD,14,17,PS,5
Gateway Middle School,SFUSD,3,10,PS,5
"Giannini, A.P. Giannini Middle School",SFUSD,11,13,PS,4
Glen Park Elementary School,SFUSD,5,10,PS,8
Grattan Elementary / Early Education,SFUSD,3,10,PS,5
Guadalupe Elementary School,SFUSD,3,10,PS,11
"Harte, Bret Harte Elementary / Early Education",SFUSD,3,10,PS,10
"Havard, Leola M. Havard Early Education School",SFUSD,3,10,PS,10
"Hearst, Phoebe Apperson Hearst Home",SFUSD,14,17,PS,4
Hillcrest Elementary School,SFUSD,5,10,PS,9
Hilltop High Special Services Center,SFUSD,13,17,PS,9
"Hoover, Herbert Hoover Middle School",SFUSD,11,13,PS,7
Independence High School,SFUSD,14,17,PS,5
International Studies Academy,SFUSD,11,17,PS,10
Jefferson Elementary School,SFUSD,5,10,PS,4
Jefferson Out Of School (OST) Program,SFUSD,5,10,PS,4
"Jordan, June Jordan High School",SFUSD,14,17,PS,11
"Key, Francis Scott Key Elementary/Early Education",SFUSD,5,10,PS,4
"King, Dr. Martin Luther King Jr. Middle School",SFUSD,11,13,PS,9
"King, Thomas Starr King Elementary / Preschool",SFUSD,3,10,PS,10
Kipp Bayview Academy,SFUSD,10,13,PS,10
Lafayette Elementary School,SFUSD,3,10,PS,1
Lakeshore Elementary School,SFUSD,5,10,PS,7
Larkin Street Youth Services Academy,SFUSD,12,17,PS,6
"Lau, Gordon J. Lau Elementary / Preschool",SFUSD,3,10,PS,3
Lawton Alternative School,SFUSD,5,13,PS,4
"Lick, James Lick Middle School",SFUSD,11,13,PS,8
Life Learning Academy Charter School,SFUSD,14,17,PS,6
"Lilienthal, Claire Lilienthal (3-8 Winfield Scott Campus)",SFUSD,5,13,PS,2
"Lilienthal, Claire Lilienthal (K-2 Madison Campus)",SFUSD,5,13,PS,2
"Lincoln, Abraham Lincoln High School",SFUSD,14,17,PS,4
Longfellow Elementary School,SFUSD,5,10,PS,11
Lowell High School,SFUSD,14,17,PS,7
Malcolm X Elementary School,SFUSD,5,10,PS,10
Marina Middle School,SFUSD,11,13,PS,2
Marshall Elementary School,SFUSD,5,10,PS,9
"Marshall, Thurgood Marshall High School",SFUSD,14,17,PS,10
"Mccoppin, Frank Mccoppin Elementary / Early Education",SFUSD,5,10,PS,1
Mckinley Elementary School,SFUSD,5,10,PS,8
"Mclaren, John Mclaren Early Education School",SFUSD,3,10,PS,10
"Milk, Harvey Milk Elementary School",SFUSD,5,10,PS,8
Miraloma Elementary School,SFUSD,5,10,PS,7
Mission Education Center Elementary School,SFUSD,5,10,PS,8
Mission High School,SFUSD,14,17,PS,8
Monroe Elementary / Excelsior Monroe Early Education,SFUSD,5,10,PS,11
"Moscone, George Moscone Elementary / Las Americas Early Education",SFUSD,3,10,PS,9
"Muir, John Muir Elementary / Early Education",SFUSD,3,10,PS,5
New Traditions Elementary School,SFUSD,5,10,PS,5
Noriega Early Education School,SFUSD,3,10,PS,4
"O'Connell, John O'Connell High School",SFUSD,14,17,PS,9
"Ortega, Jose Ortega Elementary School",SFUSD,5,10,PS,11
"Parker, Jean Parker Out-Of-School (OST) / Early Education",SFUSD,5,10,PS,3
"Parks, Rosa Parks Japanese Bilingual Bicultural Program / Weill, Raphael Weill  Early Education",SFUSD,5,10,PS,5
"Peabody, George Peabody Elementary School",SFUSD,5,10,PS,1
Presidio Early Education School,SFUSD,3,9,PS,2
Presidio Middle School,SFUSD,11,13,PS,1
Redding Elementary / Early Education,SFUSD,5,10,PS,3
"Revere, Paul Revere School / Preschool",SFUSD,3,13,PS,9
"Rodriguez, Zaida T. Rodriguez Early Education School",SFUSD,3,5,PS,9
Rooftop (5-8 Mayeda Campus),SFUSD,3,13,PS,8
Rooftop (K-4 Burnett Campus),SFUSD,3,13,PS,8
"Roosevelt, Theodore Roosevelt Middle School",SFUSD,11,13,PS,2
San Francisco Community Alternative School,SFUSD,5,13,PS,11
San Francisco County Civic Center Secondary School,SFUSD,12,17,PS,5
San Francisco International High School,SFUSD,14,17,PS,9
San Miguel Early Education School,SFUSD,3,10,PS,11
Sanchez Elementary School  / Preschool,SFUSD,3,10,PS,8
"Serra, Junipero Serra Elementary School",SFUSD,5,10,PS,9
Sheridan Elementary School / Preschool,SFUSD,3,10,PS,11
Sherman Elementary School,SFUSD,5,10,PS,2
"Sloat, Commodore Sloat Elementary School",SFUSD,5,10,PS,7
Spring Valley Elementary / Early Education,SFUSD,5,10,PS,3
"Stevenson, Robert Louis Stevenson Elementary School",SFUSD,5,10,PS,4
"Stockton, Commodore Stockton Early Education School",SFUSD,3,9,PS,3
Sunnyside Elementary School,SFUSD,5,10,PS,7
Sunset Elementary School,SFUSD,5,10,PS,4
Sutro Elementary / Early Education,SFUSD,5,10,PS,1
"Taylor, E. R. Taylor Elementary School / Preschool",SFUSD,3,10,PS,9
Tenderloin Elementary / Early Education,SFUSD,3,10,PS,6
Tule Elk Park Early Education School,SFUSD,3,10,PS,2
Ulloa Elementary School,SFUSD,5,10,PS,4
Visitacion Valley Elementary School,SFUSD,5,10,PS,10
Visitacion Valley Middle School,SFUSD,11,13,PS,10
"Wallenberg, Raoul Wallenberg High School",SFUSD,14,17,PS,2
"Washington, George Washington High School",SFUSD,14,17,PS,1
"Webster, Daniel Webster Elementary School",SFUSD,11,17,PS,10
"Webster, Daniel Webster Out-Of-School (OST) Program",SFUSD,5,10,PS,10
"Wells, Ida B. Wells High School",SFUSD,14,17,PS,5
West Portal Elementary School,SFUSD,5,10,PS,7
Yick Wo Elementary School,SFUSD,5,10,PS,3
"Yu, Alice Fong Yu Alternative School",SFUSD,5,13,PS,7
Adda Clevenger School,Private,5,13,IND,8
